,Player,DraftYear,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,school,position,height,weight,lbsPerIn,40yard,vertleap,broadjump,shuttle,3cone,games,playsPerGame,plays,rushAvg,ydsFromScrimAvg,tdPerInt,compPct,ydsPerAtt,adjYdsPerAtt,effRate,success,predictedSuccess
0,Jameis Winston,2015,1,1,TAM,QB,21,2019,0,1,5,Florida St.,QB,75.75,231,3.04950495,4.97,28.5,103,4.36,7.16,27,5.37037037,145,2,2,2.321428571,66,9.4,9.4,163.3,1,1
1,Marcus Mariota,2015,1,2,TEN,QB,21,2019,0,0,4,Oregon,QB,75.75,222,2.930693069,4.52,36,121,4.11,6.87,41,8.268292683,339,6.6,6.7,7.5,66.8,9.3,10.5,171.8,0,0
2,Garrett Grayson,2015,3,75,NOR,QB,24,2015,0,0,0,Colorado St.,QB,74.5,213,2.859060403,4.84,30.46080306,108.9120459,4.354681275,7.20591954,37,5.810810811,215,1.3,1.5,2.37037037,61.8,8.3,8.3,145.3,0,0
3,Sean Mannion,2015,3,89,STL,QB,23,2019,0,0,0,Oregon St.,QB,77.625,229,2.950080515,5.14,31,105,4.39,7.29,47,2.829787234,133,-6.1,-6,1.537037037,64.6,7.4,7,135.8,0,0
4,Bryce Petty,2015,4,103,NYJ,QB,24,2017,0,0,0,Baylor,QB,74.875,230,3.071786311,4.87,34,121,4.13,6.91,37,5.189189189,192,1.8,1.8,6.2,62.7,9.7,10.6,166,0,0
5,Brett Hundley,2015,5,147,GNB,QB,22,2019,0,0,1,UCLA,QB,75.25,226,3.003322259,4.63,36,120,3.98,6.93,40,12.025,481,3.6,3.7,3,67.4,8,8.3,150.8,0,0
6,Trevor Siemian,2015,7,250,DEN,QB,23,2019,0,0,2,Northwestern,QB,74.875,210,2.804674457,4.94,30.46080306,108.9120459,4.354681275,7.20591954,44,3.25,143,-0.2,0,1.125,58.9,6.4,5.8,116.6,0,0
7,Jared Goff,2016,1,1,LAR,QB,21,2019,0,2,3,California,QB,76,215,2.828947368,4.82,27,110,4.47,7.17,37,4.648648649,172,-0.7,-0.6,3.2,62.3,7.8,8.1,144,1,1
8,Carson Wentz,2016,1,2,PHI,QB,23,2019,0,1,4,North Dakota St.,QB,77.25,237,3.067961165,4.77,30.5,118,4.15,6.86,42,5.166666667,217,4.8,4.8,3.214285714,64.1,8.4,8.8,153.9,1,1
9,Paxton Lynch,2016,1,26,DEN,QB,22,2017,0,0,0,Memphis,QB,78.625,244,3.103338633,4.86,36,118,4.26,7.14,38,7.578947368,288,2.4,2.4,2.565217391,62.9,7.4,7.5,137,0,0
10,Christian Hackenberg,2016,2,51,NYJ,QB,21,,0,0,0,Penn St.,QB,76.375,223,2.919803601,4.78,31,114,4.33,7.04,38,5.5,209,-1.2,-1.1,1.548387097,56.1,6.8,6.5,121.4,0,0
11,Jacoby Brissett,2016,3,91,NWE,QB,23,2019,0,0,2,North Carolina St.,QB,75.75,231,3.04950495,4.94,31,113,4.53,7.17,39,7.282051282,284,3.2,3.2,3.066666667,59.5,6.8,7.1,131.3,0,1
12,Cody Kessler,2016,3,93,CLE,QB,23,2018,0,0,1,USC,QB,73.25,220,3.003412969,4.89,29.5,104,4,7.32,51,3.098039216,158,-2.7,-2.7,4.631578947,67.5,8.2,8.9,156.4,0,0
13,Connor Cook,2016,4,100,OAK,QB,23,2016,0,0,0,Michigan St.,QB,76,217,2.855263158,4.79,33,113,4.28,7.21,43,4.093023256,176,1.2,1.2,3.227272727,57.5,7.9,8.2,139.8,0,0
14,Dak Prescott,2016,4,135,DAL,QB,23,2019,0,2,4,Mississippi St.,QB,74.25,226,3.043771044,4.79,32.5,116,4.32,7.11,49,11.02040816,540,4.7,4.8,3.043478261,62.8,8,8.3,146,1,1
15,Cardale Jones,2016,4,139,BUF,QB,23,2016,0,0,0,Ohio St.,QB,77,253,3.285714286,4.81,36,108.9120459,4.354681275,7.20591954,23,6.652173913,153,4,4,2.142857143,61.7,8.6,8.6,147.4,0,0
16,Kevin Hogan,2016,5,162,KAN,QB,23,2017,0,0,0,Stanford,QB,75.25,218,2.897009967,4.78,32.5,113,4.31,6.9,51,6.196078431,316,4,4,2.586206897,65.9,8.5,8.7,154.6,0,0
17,Nate Sudfeld,2016,6,187,WAS,QB,22,2018,0,0,0,Indiana,QB,78.125,234,2.9952,4.8776,29,105,4.354681275,7.20591954,38,3.552631579,135,1,1,3.05,60.3,8,8.3,144.1,0,0
18,Jake Rudock,2016,6,191,DET,QB,23,2017,0,0,0,Michigan,QB,75,207,2.76,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,38,5.078947368,193,2.9,3,2,61.7,7.3,7.1,134.1,0,0
19,Brandon Allen,2016,6,201,JAX,QB,24,2019,0,0,0,Arkansas,QB,73.375,217,2.957410562,4.84,28,110,4.33,7.06,42,3.214285714,135,1,1.1,2.461538462,57.4,7.3,7.5,134.8,0,0
20,Jeff Driskel,2016,6,207,SFO,QB,23,2019,0,0,0,Louisiana Tech,QB,76,234,3.078947368,4.56,32,122,4.25,7.19,42,7.428571429,312,3.1,3.1,1.785714286,60.7,7.4,7.2,134.1,0,0
21,Brandon Doughty,2016,7,223,MIA,QB,24,,0,0,0,Western Kentucky,QB,74.75,213,2.849498328,5.22,27,103,4.52,7.49,43,2.395348837,103,-2.8,-2.7,3.264705882,68.6,8.6,9.1,161,0,0
22,Mitchell Trubisky,2017,1,2,CHI,QB,23,2019,0,1,3,North Carolina,QB,74.125,222,2.994940978,4.67,27.5,116,4.25,6.87,31,3.903225806,121,3.7,3.7,4.1,67.5,8.3,9,157.6,1,1
23,Patrick Mahomes,2017,1,10,KAN,QB,21,2019,1,2,2,Texas Tech,QB,74.125,225,3.035413153,4.8,30,114,4.08,6.88,32,9.65625,309,2.7,2.7,3.206896552,63.5,8.3,8.8,152,1,1
24,Deshaun Watson,2017,1,12,HOU,QB,21,2019,0,2,2,Clemson,QB,74.125,221,2.981450253,4.66,32.5,119,4.31,6.95,38,11.44736842,435,4.4,4.4,2.8125,67.4,8.4,8.7,157.5,1,1
25,DeShone Kizer,2017,2,52,CLE,QB,21,2018,0,0,1,Notre Dame,QB,76.125,233,3.060755337,4.83,30.5,107,4.53,7.4,25,10.6,265,3.8,3.8,2.473684211,60.7,8.4,8.5,147.7,0,0
26,Davis Webb,2017,3,87,NYG,QB,22,,0,0,0,California,QB,76.625,229,2.98858075,4.79,33,118,4.21,6.92,35,2.228571429,78,-1.3,-1.4,2.441176471,61.5,7.2,7.3,137.1,0,0
27,C.J. Beathard,2017,3,104,SFO,QB,23,2018,0,0,0,Iowa,QB,74.125,219,2.954468803,4.8776,31,113,4.354681275,7.20591954,40,5.6,224,1.9,1.9,2.105263158,58.1,7.1,7,129.8,0,0
28,Joshua Dobbs,2017,4,135,PIT,QB,22,2018,0,0,0,Tennessee,QB,75.25,216,2.870431894,4.64,33,122,4.31,6.75,37,11.89189189,440,4.9,5.1,1.827586207,61.5,7.1,6.9,133.2,0,0
29,Nathan Peterman,2017,5,171,BUF,QB,23,2018,0,0,0,Pittsburgh,QB,74.625,226,3.028475712,4.82,31,110,4.31,7.14,35,4.942857143,173,3.1,3.1,2.764705882,60.1,7.9,8.2,144.9,0,0
30,Brad Kaaya,2017,6,215,DET,QB,22,,0,0,0,Miami (FL),QB,75.75,214,2.825082508,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,38,2.473684211,94,-4.1,-4.1,2.875,60.6,8.4,8.6,146.2,0,0
31,Chad Kelly,2017,7,253,DEN,QB,23,2018,0,0,0,Mississippi,QB,73.75,224,3.037288136,4.8776,30.46080306,108.9120459,4.08,7.20591954,27,7.518518519,203,4.7,4.7,2.380952381,63.9,8.5,8.6,150.9,0,0
32,Baker Mayfield,2018,1,1,CLE,QB,23,2019,0,0,2,Oklahoma,QB,72.625,215,2.960413081,4.84,29,111,4.28,7,48,8.4375,405,2.7,2.7,4.366666667,68.5,9.8,10.6,175.4,0,1
33,Sam Darnold,2018,1,3,NYJ,QB,21,2019,0,0,2,USC,QB,75.375,221,2.932006633,4.85,26.5,105,4.4,6.96,27,5.074074074,137,2.4,2.4,2.590909091,64.9,8.5,8.7,153.7,0,1
34,Josh Allen,2018,1,7,BUF,QB,22,2019,0,0,2,Wyoming,QB,76.875,237,3.082926829,4.75,33.5,119,4.4,6.9,27,8.851851852,239,3.2,3.2,2.095238095,56.2,7.8,7.7,137.7,0,1
35,Josh Rosen,2018,1,10,ARI,QB,21,2019,0,0,1,UCLA,QB,76,226,2.973684211,4.92,31,111,4.28,7.09,30,3.633333333,109,-1.4,-1.4,2.269230769,60.9,8,8,140.1,0,0
36,Lamar Jackson,2018,1,32,BAL,QB,21,2019,1,1,1,Louisville,QB,74.25,216,2.909090909,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,38,17.23684211,655,6.3,6.3,2.555555556,57,8.3,8.5,142.9,1,1
37,Mason Rudolph,2018,3,76,PIT,QB,23,2019,0,0,1,Oklahoma St.,QB,76.625,235,3.066884176,4.9,26,108.9120459,4.354681275,7.20591954,42,5.428571429,228,0.1,0.4,3.538461538,63.2,9.4,9.9,159.7,0,0
38,Mike White,2018,5,171,DAL,QB,23,,0,0,0,Western Kentucky,QB,76.625,224,2.923327896,5.09,27,96,4.4,7.4,44,3.090909091,136,-3.5,-3.5,2.387096774,62,8.1,8.1,142.9,0,0
39,Luke Falk,2018,6,199,TEN,QB,23,2019,0,0,0,Washington St.,QB,75.625,215,2.842975207,4.8776,26.5,103,4.354681275,7.20591954,42,5.976190476,251,-1.6,-1.6,3.051282051,68.3,7.1,7.4,142.8,0,0
40,Tanner Lee,2018,6,203,JAX,QB,23,,0,0,0,Nebraska,QB,76.25,218,2.859016393,4.98,32,115,4.41,7,31,2.870967742,89,-4.3,-4.3,1.243243243,55.2,6.5,5.8,117.1,0,0
41,Danny Etling,2018,7,219,NWE,QB,24,,0,0,0,LSU,QB,74.5,222,2.979865772,4.76,30.5,114,4.37,7.09,37,5.432432432,201,0.3,0.3,2.263157895,57.9,7.3,7.3,129.6,0,0
42,Alex McGough,2018,7,220,SEA,QB,22,,0,0,0,Florida International,QB,75.375,214,2.839137645,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,46,6.695652174,308,1.7,1.7,1.756756757,60.4,6.8,6.5,128.2,0,0
43,Logan Woodside,2018,7,249,CIN,QB,23,,0,0,0,Toledo,QB,73.25,213,2.907849829,4.79,31.5,103,4.15,6.94,43,3.395348837,146,0.6,0.6,3.72,65.1,9,9.6,162.9,0,0
44,Kyler Murray,2019,1,1,ARI,QB,22,2019,0,0,1,Oklahoma,QB,70.125,207,2.951871658,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,29,7.137931034,207,7.1,7.1,3.571428571,67.4,10.4,11.1,181.3,0,1
45,Daniel Jones,2019,1,6,NYG,QB,22,2019,0,0,1,Duke,QB,77.125,221,2.86547812,4.81,33.5,120,4.41,7,36,11.33333333,408,3.3,3.3,1.793103448,59.9,6.4,6.2,122.9,0,1
46,Dwayne Haskins,2019,1,15,WAS,QB,22,2019,0,0,0,Ohio St.,QB,75.375,231,3.064676617,5.04,28.5,108.9120459,4.354681275,7.20591954,22,4.681818182,103,1.9,1.9,6,70,9.1,10.3,174,0,1
47,Drew Lock,2019,2,42,DEN,QB,22,2019,0,0,0,Missouri,QB,75.75,228,3.00990099,4.69,31,112,4.12,7.03,50,4.06,203,2.2,2.3,2.538461538,56.9,7.9,8,138.8,0,0
48,Will Grier,2019,3,100,CAR,QB,24,2019,0,0,0,West Virginia,QB,74.5,217,2.912751678,4.84,34,112,4.28,7.09,28,5.25,147,1,1,3.52173913,65.7,9.1,9.7,165.2,0,0
49,Ryan Finley,2019,4,104,CIN,QB,24,2019,0,0,0,North Carolina St.,QB,76,213,2.802631579,4.73,30.5,116,4.2,7.2,46,4.695652174,216,1.8,1.9,2.1,64.2,7.6,7.6,138.4,0,0
50,Jarrett Stidham,2019,4,133,NWE,QB,23,2019,0,0,0,Auburn,QB,74.375,218,2.931092437,4.81,31,110,4.33,7.28,37,5.702702703,211,1.1,1.1,3.692307692,64.3,8.5,9,151.4,0,0
51,Clayton Thorson,2019,5,167,PHI,QB,23,,0,0,0,Northwestern,QB,76,222,2.921052632,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,53,6.867924528,364,1.1,1.2,1.355555556,58.4,6.3,5.9,118.1,0,0
52,Gardner Minshew,2019,6,178,JAX,QB,23,2019,0,0,1,Washington St.,QB,72.875,225,3.087478559,4.97,33.5,116,4.45,7.14,30,3.2,96,0.4,0.4,3.1,65.2,7.1,7.4,138.7,0,0
53,Trace McSorley,2019,6,197,BAL,QB,24,2019,0,0,0,Penn St.,QB,72.125,202,2.800693241,4.57,33,115,4.12,7.09,46,10.2826087,473,3.6,3.6,3.08,59.3,8.1,8.5,144.5,0,0
54,Joe Burrow,2020,1,1,CIN,QB,23,,0,0,0,LSU,QB,76,216,2.842105263,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,38,6.815789474,259,3.2,3.2,7.090909091,68.8,9.4,10.5,172.4,0,0
55,Tua Tagovailoa,2020,1,5,MIA,QB,22,,0,0,0,Alabama,QB,73,218,2.98630137,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,32,3.34375,107,3.2,3.2,7.909090909,69.3,10.9,12.7,199.4,0,0
56,Justin Herbert,2020,1,6,LAC,QB,22,,0,0,0,Oregon,QB,78,227,2.91025641,4.68,35.5,123,4.46,7.06,43,5.372093023,231,2.4,2.4,4.130434783,64,8.2,8.8,153.1,0,0
57,Jordan Love,2020,1,26,GNB,QB,21,,0,0,0,Utah St.,QB,76,225,2.960526316,4.74,35.5,118,4.52,7.21,38,4.473684211,170,2.4,2.4,2.068965517,61.2,7.6,7.6,137.9,0,0
58,Jalen Hurts,2020,2,53,PHI,QB,22,,0,0,0,Alabama,QB,73,218,2.98630137,4.59,35,125,4.354681275,7.20591954,56,11.05357143,619,5.3,5.4,4,65.1,9.1,9.7,162.6,0,0
59,Jacob Eason,2020,4,122,IND,QB,,,0,0,0,Washington,QB,78,227,2.91025641,4.89,27.5,110,4.75,7.5,29,2.827586207,82,-1.5,-1.5,2.4375,59.8,7.1,7.2,132.3,0,0
60,James Morgan,2020,4,125,NYJ,QB,23,,0,0,0,Florida International,QB,76,213,2.802631579,4.89,29,112,4.64,7.51,42,3.095238095,130,-1.3,-1.3,1.911764706,57.2,7.1,6.9,128.8,0,0
61,Jake Fromm,2020,5,167,BUF,QB,,,0,0,0,Georgia,QB,74,220,2.972972973,5.01,30,111,4.51,7.27,43,3.11627907,134,0.3,0.3,4.333333333,63.3,8.4,9.1,156.2,0,0
62,Jake Luton,2020,6,189,JAX,QB,,,0,0,0,Oregon St.,QB,79,229,2.898734177,4.8776,30.46080306,108.9120459,4.354681275,7.20591954,29,4,116,-1.1,-1.1,2.866666667,62.2,7.1,7.3,135.6,0,0
63,Cole McDonald,2020,7,224,TEN,QB,,,0,0,0,Hawaii,QB,76,220,2.894736842,4.58,36,121,4.52,7.13,33,7.606060606,251,3.5,3.5,2.916666667,61.4,8,8.3,146.8,0,0
64,Nate Stanley,2020,7,244,MIN,QB,,,0,0,0,Iowa,QB,76,243,3.197368421,4.81,28.5,108,4.48,7.26,44,3.659090909,161,-0.6,-0.7,2.956521739,58.3,7.2,7.5,134.1,0,0
